"","variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail","state_id","model"
"1","p_delta[1]",0.821600000000005,1,0.382887399312273,0,0,1,1.35625849922571,9.20224455092062,NA,1,"hurdle heir"
"2","p_delta[2]",0.9606,1,0.194564156622463,0,1,1,1.11822594387704,22.3978440205819,NA,2,"hurdle heir"
"3","p_delta[3]",0.629800000000006,1,0.482906408861969,0,0,1,1.30826762187178,10.1757445388627,NA,3,"hurdle heir"
"4","p_delta[4]",0.756000000000019,1,0.429535679752024,0,0,1,1.54280110719672,7.08875239226891,NA,4,"hurdle heir"
"5","p_delta[5]",0.796200000000001,1,0.402862283670114,0,0,1,1.24952371628352,11.9337645561979,NA,5,"hurdle heir"
"6","p_delta[6]",0.863599999999999,1,0.343247146704429,0,0,1,1.16033304655563,17.1235943817291,NA,6,"hurdle heir"
"7","p_delta[7]",0.613,1,0.487112364543476,0,0,1,1.62424574181672,6.64350781775772,NA,7,"hurdle heir"
"8","p_delta[8]",0.429000000000012,0,0.494982829601505,0,0,1,1.18247208324803,15.1821980348347,NA,8,"hurdle heir"
"9","p_delta[9]",0.653599999999999,1,0.475870077296398,0,0,1,1.22319482773276,12.7703685993321,NA,9,"hurdle heir"
"10","p_delta[10]",0.961000000000001,1,0.193614300348546,0,1,1,1.0510941701678,82.5610731436437,NA,10,"hurdle heir"
"11","p_delta[11]",0.820000000000005,1,0.384225878755168,0,0,1,1.2704276668427,11.1027049867205,NA,11,"hurdle heir"
"12","p_delta[12]",0.707399999999994,1,0.455001808050327,0,0,1,1.47649485197436,7.63050279932765,NA,12,"hurdle heir"
"13","p_delta[13]",0.781799999999997,1,0.413065230413933,0,0,1,1.14548075672194,18.7347662721505,NA,13,"hurdle heir"
"14","p_delta[14]",0.802400000000004,1,0.398228523829525,0,0,1,1.25165252215321,11.9822344829757,NA,14,"hurdle heir"
"15","p_delta[15]",0.661000000000018,1,0.473417178358537,0,0,1,1.63527668654598,6.49651645218716,NA,15,"hurdle heir"
"16","p_delta[16]",0.510000000000007,1,0.499949987496741,0,0,1,2.09293952953238,5.26224508847419,NA,16,"hurdle heir"
"17","p_delta[17]",0.747399999999999,1,0.434546897585573,0,0,1,1.19471244616312,14.2608929005407,NA,17,"hurdle heir"
"18","p_delta[18]",0.616799999999993,1,0.486215015202326,0,0,1,1.40387418242904,8.51739860344774,NA,18,"hurdle heir"
"19","p_delta[19]",0.589199999999997,1,0.492028229226402,0,0,1,1.4820708888875,7.65989712471255,NA,19,"hurdle heir"
"20","p_delta[20]",0.9962,1,0.0615330582975774,0,1,1,1.0087669924517,259.262820101496,NA,20,"hurdle heir"
"21","p_delta[21]",0.7944,1,0.40417980189816,0,0,1,1.08513013104544,32.7823273161042,NA,21,"hurdle heir"
"22","p_delta[22]",0.611799999999996,1,0.487389238344399,0,0,1,1.29792269166638,10.3237437962806,NA,22,"hurdle heir"
"23","p_delta[23]",0.620399999999999,1,0.485335914795143,0,0,1,1.24030767729777,12.2990493867406,NA,23,"hurdle heir"
"24","p_delta[24]",0.744399999999996,1,0.436241563059103,0,0,1,1.80923475042792,5.86532857748976,NA,24,"hurdle heir"
"25","p_delta[25]",0.792600000000005,1,0.405485047350364,0,0,1,1.18935983937528,14.6036976940685,NA,25,"hurdle heir"
"26","p_delta[26]",0.499800000000005,0,0.500049967497249,0,0,1,1.38417681575752,8.62577077163609,NA,26,"hurdle heir"
"27","p_delta[27]",0.787200000000001,1,0.409328315578089,0,0,1,1.53028531181004,7.20923520568874,NA,27,"hurdle heir"
"28","p_delta[28]",0.625,1,0.484171337830809,0,0,1,1.08146370086945,32.9930819250374,NA,28,"hurdle heir"
"29","p_delta[29]",0.7346,1,0.441590127117969,0,0,1,1.24262476769927,11.9476503044173,NA,29,"hurdle heir"
"30","p_delta[30]",0.760799999999994,1,0.426637743235162,0,0,1,1.31578920724364,9.84991713267468,NA,30,"hurdle heir"
"31","p_delta[31]",0.630399999999993,1,0.482744703222823,0,0,1,1.38682716846704,8.65957708018225,NA,31,"hurdle heir"
"32","p_delta[32]",0.8672,1,0.339392394492721,0,0,1,1.18418824165759,15.9026786182041,NA,32,"hurdle heir"
