"","case_month","res_state","res_county","county_fips_code","cases","hosp_yes","hosp_no","hosp_missing","death_yes","death_no","death_missing","jhu_cases","jhu_deaths","CovidDeathCount","CovidContributingCount","county_name","new_hosp","death"
"379",2022-02-01,"NE","LANCASTER",31109,6109,41,907,5161,0,0,6109,7039,0,31,41,"Lancaster",183,28
"380",2022-02-01,"NE","LINCOLN",31111,113,1,49,63,0,0,113,727,0,11,12,"Lincoln",67,12
"381",2022-02-01,"NE","MADISON",31119,137,19,1,117,0,0,137,636,0,3,3,"Madison",35,2
"382",2022-02-01,"NE","PLATTE",31141,122,5,74,43,0,0,122,628,0,2,3,"Platte",15,1
"383",2022-02-01,"NE","SARPY",31153,670,2,290,378,11,0,659,2964,0,7,17,"Sarpy",23,11
"384",2022-02-01,"NE","SAUNDERS",31155,138,4,47,87,0,0,138,353,0,1,1,"Saunders",0,3
"385",2022-02-01,"NE","SCOTTS BLUFF",31157,114,19,69,26,0,0,114,885,0,7,7,"Scotts Bluff",29,3
"386",2022-02-01,"NE","WASHINGTON",31177,134,4,59,71,0,0,134,295,0,1,2,"Washington",10,2
"387",2022-03-01,"NE","ADAMS",31001,87,0,8,79,0,0,87,119,0,2,2,"Adams",0,1
"388",2022-03-01,"NE","BUFFALO",31019,48,3,20,25,0,0,48,70,0,4,4,"Buffalo",25,0
"389",2022-03-01,"NE","CASS",31025,65,1,6,58,0,0,65,24,0,2,2,NA,NA,NA
"390",2022-03-01,"NE","DAKOTA",31043,53,1,9,43,0,0,53,11,0,0,0,NA,NA,NA
"391",2022-03-01,"NE","DAWSON",31047,11,0,4,7,0,0,11,13,0,0,0,"Dawson",0,0
"392",2022-03-01,"NE","DODGE",31053,156,2,22,132,0,0,156,69,0,2,2,"Dodge",7,1
"393",2022-03-01,"NE","DOUGLAS",31055,1432,6,213,1213,0,0,1432,1271,0,24,38,"Douglas",196,10
"394",2022-03-01,"NE","GAGE",31067,24,0,0,24,0,0,24,26,0,0,0,"Gage",12,0
"395",2022-03-01,"NE","HALL",31079,62,0,59,3,0,59,3,74,0,1,1,"Hall",8,1
"396",2022-03-01,"NE","LANCASTER",31109,13738,16,343,13379,0,0,13738,627,0,8,9,"Lancaster",45,5
"397",2022-03-01,"NE","LINCOLN",31111,36,0,2,34,0,0,36,64,0,3,4,"Lincoln",11,2
"398",2022-03-01,"NE","MADISON",31119,108,0,0,108,0,0,108,35,0,2,2,"Madison",0,0
"399",2022-03-01,"NE","PLATTE",31141,41,1,23,17,0,0,41,48,0,1,3,"Platte",6,1
"400",2022-03-01,"NE","SARPY",31153,652,0,81,571,0,0,652,322,0,0,4,"Sarpy",0,4
"401",2022-03-01,"NE","SAUNDERS",31155,99,0,12,87,0,0,99,49,0,0,0,"Saunders",0,1
"402",2022-03-01,"NE","SCOTTS BLUFF",31157,70,5,18,47,0,0,70,74,0,5,5,"Scotts Bluff",8,4
"403",2022-03-01,"NE","WASHINGTON",31177,69,1,8,60,0,0,69,14,0,0,2,"Washington",0,0
"404",2022-04-01,"NE","ADAMS",31001,27,0,8,19,0,0,27,156,27,0,0,"Adams",0,0
"405",2022-04-01,"NE","BUFFALO",31019,32,1,25,6,0,12,20,62,43,1,3,"Buffalo",13,1
"406",2022-04-01,"NE","CASS",31025,26,1,6,19,0,0,26,7,23,0,1,NA,NA,NA
"407",2022-04-01,"NE","DAKOTA",31043,31,0,5,26,0,0,31,-6,5,1,1,NA,NA,NA
"408",2022-04-01,"NE","DODGE",31053,241,8,50,183,0,0,241,52,46,1,2,"Dodge",8,1
"409",2022-04-01,"NE","DOUGLAS",31055,1394,1,367,1026,0,0,1394,2027,315,5,13,"Douglas",81,2
"410",2022-04-01,"NE","HALL",31079,44,0,42,2,0,41,3,60,23,1,2,"Hall",0,1
"411",2022-04-01,"NE","LANCASTER",31109,4562,7,277,4278,0,0,4562,525,124,2,2,"Lancaster",28,1
"412",2022-04-01,"NE","LINCOLN",31111,29,2,3,24,0,0,29,14,50,1,1,"Lincoln",9,2
