"","PLAYER","TEAM","AGE","POS","HANDED","GP","G","A","P","P/GP","+/-","Sh","Sh%","TOI","W","L","SO","GAA","Sv%","CLAUSE","EXPIRY","CAP HIT","SALARY"
"326","326. Hayden Hodgson","LAK",28,"RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","UFA","$800,000","$800,000"
"327","327. Blake Wheeler","NYR",37,"RW","Right",54,"9","12","21","0.39","2","83","0.11","12:43","-","-","-","-","-","NTC","UFA","$800,000","$800,000"
"328","328. Andreas Johnsson","-",29,"LW, RW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","UFA","$800,000","$800,000"
"329","329. Tyler Motte","TBL",29,"LW, RW","Left",69,"6","3","9","0.13","-8","83","0.07","12:26","-","-","-","-","-","","UFA","$800,000","$800,000"
"330","330. Kyle MacLean","NYI",25,"LW, C","Left",32,"4","5","9","0.28","5","26","0.15","10:05","-","-","-","-","-","","RFA","$800,000","$800,000"
"331","331. Nick Bonino","-",36,"C, LW","Left",45,"1","4","5","0.11","-12","31","0.03","12:15","-","-","-","-","-","","UFA","$800,000","$800,000"
"332","332. Mark Giordano","TOR",40,"LD","Left",46,"3","6","9","0.20","10","59","0.05","16:37","-","-","-","-","-","","UFA","$800,000","$800,000"
"333","333. Joey Anderson","CHI",26,"RW","Right",55,"5","12","17","0.31","5","57","0.09","13:32","-","-","-","-","-","","RFA","$800,000","$800,000"
"334","334. Otto Koivula","NYI",25,"LW, RW, C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","UFAGroup 6","$800,000","$850,000"
"335","335. Joe Snively","WSH",28,"LW","Left",3,"0","0","0","0.00","-1","0","0.00","08:20","-","-","-","-","-","","UFA","$800,000","$850,000"
"336","336. Matthew Robertson","NYR",23,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","RFA","$797,500","$800,000"
"337","337. Nicholas Robertson","TOR",22,"LW, RW","Left",56,"14","13","27","0.48","4","96","0.15","11:22","-","-","-","-","-","","RFA","$796,667","$775,000"
"338","338. Luke Henman","SEA",24,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","RFA","$791,667","$815,000"
"339","339. Blake Murray","CAR",22,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","RFA","$791,667","$815,000"
"340","340. Griffin Mendel","CAR",25,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","RFA","$790,000","$790,000"
"341","341. Kaedan Korczak","VGK",23,"RD","Right",26,"1","8","9","0.35","12","32","0.03","16:30","-","-","-","-","-","","RFA","$789,167","$775,000"
"342","342. Dillon Hamaliuk","PIT",23,"LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","RFA","$789,167","$775,000"
"343","343. Vladislav Kolyachonok","UTA",23,"LD/RD","Left",5,"1","3","4","0.80","5","5","0.20","12:28","-","-","-","-","-","","RFA","$789,167","$775,000"
"344","344. Egor Afanasyev","NSH",23,"C, LW","Left",2,"0","0","0","0.00","-1","5","0.00","12:59","-","-","-","-","-","","RFA","$789,167","$775,000"
"345","345. Artemi Kniazev","WPG",23,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","RFA","$789,167","$775,000"
"346","346. Nikita Okhotiuk","CGY",23,"LD","Left",52,"1","8","9","0.17","-24","52","0.02","15:54","-","-","-","-","-","","RFA","$789,167","$775,000"
"347","347. Tyler Pitlick","NYR",32,"RW","Right",34,"1","3","4","0.12","-6","32","0.03","10:11","-","-","-","-","-","","UFA","$787,500","$787,500"
"348","348. Jared McIsaac","DET",24,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","RFA","$787,500","$787,500"
"349","349. T.J. Tynan","LAK",32,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","UFA","$787,500","$775,000"
"350","350. Wyatt Newpower","DET",26,"RD","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-","","UFAGroup 6","$787,500","$787,500"
"351","351. Hunter Jones","MIN",23,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"RFA","$787,500","$787,500"
"352","352. Arturs Silovs","VAN",23,"G","Left",4,"-","-","-","-","-","-","-","-","3","0","0","2.47",".881",NA,"RFA","$786,111","$775,000"
"353","353. Wade Allison","NSH",26,"RW","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$785,000","$820,000"
"354","354. Magnus Hellberg","FLA",33,"G","Left",3,"-","-","-","-","-","-","-","-","1","0","0","2.52",".922",NA,"UFA","$785,000","$785,000"
"355","355. Marcus Kallionkieli","-",23,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"RFA","$784,722","$775,000"
"356","356. Austin Watson","TBL",32,"RW, LW","Right",33,"2","2","4","0.12","2","17","0.12","07:15","-","-","-","-","-",NA,"UFA","$776,665","$776,665"
"357","357. Joel Kiviranta","COL",28,"RW, LW","Left",56,"3","6","9","0.16","-1","48","0.06","09:50","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"358","358. Colton Poolman","CGY",28,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"359","359. Devin Cooley","SJS",27,"G","Left",6,"-","-","-","-","-","-","-","-","2","3","0","4.98",".870",NA,"UFA","$775,000","$775,000"
"360","360. Sam Gagner","EDM",34,"RW, C","Right",28,"5","5","10","0.36","-2","48","0.10","10:12","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"361","361. Jayson Megna","BOS",34,"C, LW, RW","Right",1,"0","0","0","0.00","0","0","0.00","11:45","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"362","362. Matt Irwin","VAN",36,"LD/RD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"363","363. William Lagesson","ANA",28,"LD/RD","Left",40,"0","4","4","0.10","3","19","0.00","14:47","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"364","364. Sean Day","TBL",26,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"365","365. Zach Sawchenko","VAN",26,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFAGroup 6","$775,000","$775,000"
"366","366. Mikhail Maltsev","LAK",26,"C, LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"367","367. Nolan Stevens","-",27,"C","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"368","368. Marian Studenic","SEA",25,"LW, RW","Left",2,"0","0","0","0.00","-1","1","0.00","08:06","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"369","369. Mason Shaw","MIN",25,"LW, C","Left",20,"1","2","3","0.15","0","21","0.05","08:11","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"370","370. Joshua Dunne","CBJ",25,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"371","371. Dmitri Samorukov","PIT",25,"LD","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"372","372. Kyle Criscuolo","NJD",32,"C","Right",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"373","373. Nikolas Brouillard","NYR",29,"D","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"374","374. Jan Jeník","UTA",23,"C","Left",5,"0","1","1","0.20","-1","2","0.00","08:22","-","-","-","-","-",NA,"RFA","$775,000","$775,000"
"375","375. Kevin Mandolese","OTT",23,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"RFA","$775,000","$775,000"
"376","376. Cole Koepke","TBL",26,"LW, RW","Left",9,"0","2","2","0.22","0","9","0.00","06:42","-","-","-","-","-",NA,"UFAGroup 6","$775,000","$775,000"
"377","377. Andrew Agozzino","ANA",33,"C, LW","Left",0,"0","0","0","0.00","0","0","0.00","","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"378","378. Connor Brown","EDM",30,"RW, LW","Right",71,"4","8","12","0.17","-8","108","0.04","12:47","-","-","-","-","-",NA,"UFA","$775,000","$775,000"
"379","379. Oscar Dansk","CGY",30,"G","Left",0,"-","-","-","-","-","-","-","-","0","0","0","0.00",".000",NA,"UFA","$775,000","$775,000"
